# x,y,z,vel.x,vel.y,vel.z
-5.2301145,-3.7919295,-0.12760201,0.0040138327,0.0029101032,-0.031701047
-1.3005285,4.0183783,0.15829659,-0.003237361,0.01000281,0.10038635
4.871013,-0.30124944,-1.2564706,-0.062045097,0.0038372066,0.04320652
-6.51752,-2.5237298,-0.19389065,0.004670032,0.0018083412,-0.031155733
3.6926796,-2.4465814,1.8882303,0.04938389,-0.032719247,0.053583387
4.2161026,1.7833031,-0.23749381,-0.015551956,-0.0065780794,0.07574143
6.4845576,-2.3250484,-0.53817284,-0.013505074,0.0048422655,-0.029608203
-0.4349499,-4.3517675,-1.5599921,0.00607895,0.060821235,0.06349554
3.9771683,0.46137875,-1.5974867,-0.055308405,-0.0064161555,0.07599436
3.5667193,-1.0492471,-0.48910123,-0.024125453,0.0070971563,0.11718038
-3.991389,-1.141336,0.31817546,-0.01948324,-0.0055712247,0.103052065
0.38243866,6.06873,-1.1085855,-0.002630539,-0.041742742,-0.0142090535
-4.737548,-2.1861682,0.6637962,-0.038002696,-0.017536562,0.023934351
4.940179,-3.600619,-0.10952398,-0.004324468,0.0031518622,-0.02565343
3.9884567,1.2279795,1.6691313,0.055616505,0.017123409,0.06827101
5.427202,1.0636504,-1.8155612,-0.054686353,-0.010717701,0.011433091
5.3347383,-0.75671285,0.65217906,0.03927786,-0.0055714203,0.012218011
-3.175753,3.702036,0.5608208,-0.0246681,0.028756067,0.049990352
1.5284513,5.816969,0.87228036,0.009616786,0.036599495,-0.01586957
-5.5977774,-1.8114977,1.3053062,-0.046600748,-0.015080478,-0.0056235353
-2.1511054,-3.985453,-0.5858367,0.018250337,0.033813246,0.07579261
-0.6851675,5.6451077,-1.6104543,0.006532264,-0.053819407,0.0045364075
4.8658466,-2.8673816,1.8669506,0.045949377,-0.02707738,0.007970744
-3.6595948,-5.46249,0.006512531,-0.00013004211,-0.00019410717,-0.03258315
1.9206988,5.6966777,-0.30539536,-0.004957846,-0.0147046745,-0.02173308
-1.0019245,6.3595586,0.5612058,-0.003228349,0.020491434,-0.02841878
-2.872816,4.3774505,-1.6931481,0.03327893,-0.05070874,0.02248683
-0.33266905,-3.40926,-0.8664645,0.00330553,0.03387575,0.11281683
-5.125207,3.2476737,-0.57153314,0.022488292,-0.0142500885,-0.021209372
4.700801,4.486867,-1.1805265,-0.024302203,-0.023196196,-0.020050334
-4.3801093,0.22942218,0.3779735,-0.025377218,0.0013292119,0.088263646
-6.4460006,1.5615898,-0.9285314,0.026032763,-0.0063066226,-0.024926152
2.5363922,2.3061938,0.9506438,0.026797883,0.024365751,0.110269934
-2.7211866,3.6406596,1.895124,-0.035907518,0.048040465,0.049183004
5.443678,-1.865926,-0.7577725,-0.03686612,0.012636576,-0.007478887
4.5438795,-4.253597,-0.8970671,-0.024976637,0.023381025,-0.020726092
-1.2293674,6.379921,-1.0911944,0.006118469,-0.031752374,-0.021498028
6.329194,0.66996276,-0.9212718,-0.031723868,-0.0033580605,-0.022695793
-2.9317615,5.2088046,-0.6866061,0.015935801,-0.028312834,-0.017074969
-4.660935,3.1477323,1.7679118,-0.045230523,0.03054613,0.007973681
5.3969336,-3.651959,0.97091246,0.024721226,-0.016728185,-0.023568956
4.291258,-5.036955,0.27234828,0.006046125,-0.007096769,-0.03194828
3.3991537,4.9893427,-0.24094708,-0.006853001,-0.010058965,-0.022919687
4.4234333,-2.5596936,-0.72772187,-0.039518613,0.022868102,0.031546578
-3.8450024,-1.5734376,-1.487404,0.053811874,0.022020696,0.07424259
-0.51960844,-4.643211,1.8542743,-0.0067920987,-0.060694072,0.04498392
3.500777,3.8758352,-1.8850839,-0.039448906,-0.04367531,0.022744875
1.8996742,4.2988763,0.20673317,0.0060350443,0.013657026,0.06630523
6.2476463,2.236428,0.6510459,0.019251062,0.0068911766,-0.028650353
5.9326587,-1.3890898,1.5493683,0.044421818,-0.010401053,-0.0076431883
5.4112773,0.11204421,1.6361197,0.058759775,0.0012166635,0.015019502
-3.7963767,0.59098077,-0.36067823,0.019950474,-0.003105684,0.11578592
-4.8221555,1.7477639,-1.7292444,0.057683606,-0.02090711,0.026983159
-4.729785,2.3252141,-0.9164807,0.04642538,-0.022823218,0.020511951
5.56354,-0.9581835,-1.8159113,-0.053053543,0.009137175,0.0076595335
-6.515599,-0.85495955,-1.1433393,0.031274382,0.0041037425,-0.021250334
-3.584463,-0.8890942,-0.60486317,0.028953783,0.00718173,0.11532544
4.5905395,-0.7307202,-0.025662512,-0.0018429894,0.00029336638,0.07088801
-0.3560934,5.275862,1.243972,-0.003976601,0.058917165,0.019904977
3.9027948,1.4866065,-1.5164434,-0.054695997,-0.020834157,0.07256839
-0.5926946,3.1711357,-0.57558644,0.0040244167,-0.021532126,0.12128645
0.31639105,3.4727507,-0.9555209,-0.0034048513,-0.03737211,0.10939899
-3.5431406,2.0689657,-1.3941526,0.04912902,-0.028688176,0.078981906
-4.4263597,-2.742746,1.6812441,-0.05187871,-0.032146085,0.02374055
1.3476567,5.680313,-1.1688105,-0.011128351,-0.046905506,-0.0059290826
-4.1766977,3.9010122,-1.8402311,0.038298268,-0.03577037,0.0057403534
1.6365695,-3.8981187,-1.2179457,-0.022061758,0.052548543,0.07910661
4.009412,5.419185,0.75285584,0.012655445,0.017105315,-0.02758032
-3.1833975,2.0067015,0.5827383,-0.025311537,0.015955497,0.114057526
-0.10956402,3.1663032,0.43058667,-0.0005627199,0.0162621,0.1239195
-5.6550727,2.7329197,-1.4730515,0.037014667,-0.017888043,-0.012405778
