# x,y,z,vel.x,vel.y,vel.z
6.809608,6.7347355,8.29347,0.043387257,0.04440547,0.0520516
6.198638,8.748379,9.940791,0.003476598,0.001144691,0.11219092
13.686603,6.3900337,8.260987,-0.04359521,0.042688955,0.025637865
15.006689,7.169753,10.06303,0.0032524802,-0.0018386043,-0.01159155
7.4150834,5.6496363,8.114631,0.030704483,0.051675048,0.029042372
10.081004,3.9281251,9.816813,-0.00012167407,0.009120391,-0.024261214
14.680273,7.61195,8.261373,-0.05353379,0.027314937,0.021677515
5.9216003,7.9006133,8.838782,0.053292405,0.02743266,0.06189799
10.179458,6.227343,11.561303,0.0024412894,-0.05132214,0.08339028
14.914013,13.457955,11.258726,0.037345044,0.026279442,-0.009998622
5.693849,13.8630905,11.162852,-0.036647443,0.032876775,-0.0040564057
4.3831797,10.047304,8.883787,0.051726535,-0.00043563324,0.0024963145
5.5669985,9.316589,11.425469,-0.06136212,-0.009459851,0.061657965
4.3159666,8.461063,9.537896,0.023502665,0.0063632834,-0.016057156
7.9769444,13.784396,8.610834,0.028156212,-0.052669946,0.07151805
9.562803,5.659961,10.633083,-0.003974793,-0.03945765,0.08601967
6.4109697,11.25224,10.492968,-0.024890158,0.008684369,0.11483097
10.610688,5.9074054,9.62993,-0.003432091,0.023000536,0.103112236
8.471881,3.8428173,9.533435,0.00452277,0.018223396,-0.02824611
5.268298,9.378492,9.995544,0.00032386405,4.2539432e-05,0.06079769
5.576888,5.944032,8.6212015,0.03461592,0.031742588,-0.007991636
9.572098,15.583757,10.020122,-9.717605e-05,0.0012680646,-0.0031755264
7.4215307,14.5696125,9.715539,0.009613785,-0.017037725,0.021653129
6.888876,6.3689914,11.748348,-0.04063723,-0.047427915,0.042013407
11.688417,16.006678,9.513053,-0.0056505864,-0.020102402,-0.026270628
15.987723,10.892971,9.658202,-0.016677927,-0.0024872387,-0.022848299
8.229416,14.878949,10.847034,-0.017077051,0.04705683,0.02576175
8.117922,16.158106,9.839093,0.0018503794,-0.006054389,-0.03140715
7.738148,12.882968,8.983851,0.02628472,-0.03350263,0.10440757
12.071922,4.2123466,10.70728,0.010185573,-0.02845211,-0.02171366
11.213489,14.623637,8.916127,-0.014992019,-0.057122592,0.051454015
6.0980563,13.586859,8.604999,0.04438499,-0.040800866,0.01947662
13.649127,13.469075,8.95542,-0.041682504,-0.03962584,0.03543477
9.1871805,13.039571,9.950005,0.00049972255,-0.001868732,0.127286
5.7759995,11.217758,8.488126,0.058996987,-0.01700854,0.063721016
5.4539127,7.2761216,8.129312,0.049956754,0.029932585,0.019865636
7.4091053,6.019038,10.70013,-0.024637083,-0.037855376,0.058408447
16.639925,9.303049,11.032137,0.027614007,-0.0028984675,-0.023547934
11.627616,6.27473,8.497003,-0.022705255,0.05196754,0.076954566
15.886013,13.403966,9.195266,-0.018568715,-0.010738553,-0.026911685
12.67404,4.7696157,11.691724,0.022867162,-0.044727836,-0.0003212409
16.127838,6.735878,10.097134,0.0023098951,-0.0012304139,-0.031726155
15.384135,10.279378,10.826265,0.047023647,0.0024400111,0.012676365
9.61785,16.324974,8.946122,0.0021207042,-0.035099898,-0.020197196
5.081108,14.898815,9.771391,0.00433168,-0.004314,-0.031355195
14.704829,10.224117,8.946771,-0.05808546,-0.002766933,0.056335937
11.219265,7.0344334,9.4738865,-0.0076044584,0.018495997,0.12228267
13.430614,11.80306,9.074257,-0.03926315,-0.020635912,0.10160378
13.031385,4.362622,8.712587,-0.01752307,0.03258714,-0.017206736
10.641041,13.971853,10.562995,0.005176443,0.032072935,0.10531004
4.9757457,10.369798,11.740437,-0.06171338,0.0045422628,0.030880397
5.5860167,12.640549,10.622252,-0.03457414,0.020683067,0.029358529
12.751963,4.0429525,9.784668,-0.0032387695,0.0070108157,-0.03204457
10.111816,13.121843,9.452327,-0.0007028743,-0.019623786,0.12177348
8.172572,6.2998834,9.59975,0.011031902,0.022337034,0.10326475
6.5650277,13.179815,11.370676,-0.04626551,0.042828795,0.05279416
5.86572,7.4780974,10.313546,-0.019139621,-0.01167513,0.054210715
14.814607,6.4802856,11.635491,0.039142657,-0.02861521,-0.0033827138
9.206283,14.219869,8.605917,0.011052068,-0.058759324,0.07126762
14.194087,12.971532,10.18276,0.010590564,0.0075034667,0.030083515
4.3363748,11.230237,9.7729435,0.012732437,-0.0027657053,-0.013380975
13.430705,12.761883,10.818937,0.037707154,0.030356092,0.07980897
13.565462,9.788379,9.158883,-0.03604779,0.0021395485,0.11155664
14.233825,5.72388,10.977552,0.028504778,-0.028789539,-0.014463064
15.032325,8.129166,9.20389,-0.04330423,0.01609893,0.013971186
